Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll
33.86646527,-112.2942016,54:40.4,8/16/2011,8,0.93,51.28,11.0838024,0,38.4,49.4838024,3.6,-1.7,38.7,0,3.96,3.96,81,26,371.5,14.2,-1.8,D,835.8,1,42.686,1,1,165,20.85425,-112.294037,33.866824,0,0,1,N,122,122,5,128,128,20.91986,0
33.86646682,-112.2941991,54:41.4,8/16/2011,8,0.94,51.6,11.0838024,0,38,49.0838024,3.6,-0.9,38.6,0,4.08,4.08,81,26,371.5,14.2,-1.8,D,835.7,1,42.445,1,1,165,20.65353,-112.294037,33.866824,0,0,1,N,122,122,5,128,128,20.65353,0
33.86647022,-112.2941958,54:42.4,8/16/2011,8,0.94,50.33,11.0838024,0,36.8,47.8838024,3.6,-1.1,38.6,0,4.11,4.11,81,26,371.5,14.2,-1.8,D,835.7,1,41.982,1,1,165,20.4421,-112.294037,33.866824,0,0,1,N,122,122,5,135,135,20.50945,0
33.86647354,-112.2941925,54:43.4,8/16/2011,8,0.96,48.37,11.0838024,0,36.3,47.3838024,3.6,-1.1,38.7,0,4.2,4.2,81,26,371.5,14.2,-1.8,D,835.7,1,41.531,1,1,165,20.22916,-112.294037,33.866824,0,0,1,N,122,122,5,136,136,20.22916,0
33.8664773,-112.2941858,54:44.4,8/16/2011,8,0.95,49.14,11.0838024,0,36.1,47.1838024,3.6,-1.7,38.7,0,4.29,4.29,81,26,371.5,14.2,-1.8,D,835.7,1,40.928,1,1,165,19.62045,-112.294037,33.866824,0,0,1,N,122,122,5,131,131,19.62045,0
33.86648045,-112.2941818,54:45.4,8/16/2011,8,0.95,49.14,11.0838024,0,36,47.0838024,3.6,-1.7,38.7,0,4.41,4.41,81,26,371.4,14.2,-1.8,D,835.6,1,40.473,1,1,165,19.28506,-112.294037,33.866824,0,0,1,N,122,122,5,127,127,19.28506,0
33.86648563,-112.2941775,54:46.4,8/16/2011,8,1.08,42.84,11.0838024,0,36.2,47.2838024,3.6,-0.9,38.7,0,4.5,4.5,81,26,371.4,14.2,-1.8,D,835.6,1,39.799,1,1,165,19.0248,-112.294037,33.866824,0,0,1,N,122,122,5,124,124,19.0248,0
33.86648899,-112.2941725,54:47.4,8/16/2011,8,1.06,43.36,11.0838024,0,36.2,47.2838024,3.6,-1.2,38.7,0,4.59,4.59,81,26,371.4,14.2,-1.8,D,834.3,1,39.295,1,1,165,18.56144,-112.294037,33.866824,0,0,1,N,122,122,5,121,121,18.74405,0
33.8664923,-112.2941692,54:48.4,8/16/2011,8,1.05,42.95,11.0838024,0,36.3,47.3838024,3.6,-1.5,38.7,0,4.63,4.63,81,26,371.4,14.2,-1.8,D,834.3,1,38.851,1,1,165,18.3082,-112.294037,33.866824,0,0,1,N,122,122,5,112,112,18.3082,0
33.86649564,-112.2941659,54:49.4,8/16/2011,8,1.01,42.72,11.0838024,0,35.2,46.2838024,3.6,-1.7,38.8,0,4.75,4.75,81,26,371.4,14.2,-1.8,D,832.9,1,38.402,1,1,165,18.04892,-112.294037,33.866824,0,0,1,N,122,122,5,115,115,18.01756,0
